# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
ทำงาน	422	151	ทำงาน	ทำงาน:271 ทำ|งาน:151	test=5,train=410,val=7
แบบนั้น	285	139	แบบ|นั้น	แบบ|นั้น:146 แบบนั้น:139	test=4,train=277,val=4
พวกมัน	287	115	พวกมัน	พวกมัน:172 พวก|มัน:115	test=2,train=284,val=1
ว่าไง	260	113	ว่า|ไง	ว่า|ไง:147 ว่าไง:113	test=2,train=257,val=1
ออกมา	319	108	ออกมา	ออกมา:211 ออก|มา:108	test=2,train=312,val=5
พวกนั้น	148	74	พวกนั้น	พวกนั้น:74 พวก|นั้น:74	test=1,train=147
หรือเปล่า	346	70	หรือเปล่า	หรือเปล่า:276 หรือ|เปล่า:70	test=5,train=340,val=1
แบบนี้	411	66	แบบนี้	แบบนี้:345 แบบ|นี้:66	test=2,train=404,val=5
หมายถึง	129	54	หมายถึง	หมายถึง:75 หมาย|ถึง:54	test=3,train=125,val=1
หมายความว่า	101	45	หมายความ|ว่า	หมายความ|ว่า:56 หมายความว่า:45	train=101
ได้โปรด	149	44	ได้|โปรด	ได้|โปรด:105 ได้โปรด:44	test=2,train=145,val=2
หรือไง	127	40	หรือไง	หรือไง:87 หรือ|ไง:40	test=3,train=118,val=6
แค่ไหน	109	40	แค่ไหน	แค่ไหน:69 แค่|ไหน:40	test=1,train=108
ดูเหมือน	102	40	ดูเหมือน	ดูเหมือน:62 ดู|เหมือน:40	train=101,val=1
ควรจะ	91	38	ควรจะ	ควรจะ:53 ควร|จะ:38	train=91
มาก่อน	98	37	มา|ก่อน	มา|ก่อน:61 มาก่อน:37	test=1,train=97
ที่อยู่	74	36	ที่|อยู่	ที่|อยู่:38 ที่อยู่:36	test=1,train=72,val=1
ได้รับ	105	35	ได้รับ	ได้รับ:70 ได้|รับ:35	train=104,val=1
มีชีวิต	88	35	มีชีวิต	มีชีวิต:53 มี|ชีวิต:35	train=86,val=2
เอาไว้	128	30	เอาไว้	เอาไว้:98 เอา|ไว้:30	test=1,train=125,val=2
เข้าไป	301	29	เข้าไป	เข้าไป:272 เข้า|ไป:29	test=3,train=295,val=3
ดีกว่า	288	29	ดีกว่า	ดีกว่า:259 ดี|กว่า:29	test=4,train=282,val=2
ดีแล้ว	87	29	ดี|แล้ว	ดี|แล้ว:58 ดีแล้ว:29	train=87
เป็นห่วง	59	29	เป็น|ห่วง	เป็น|ห่วง:30 เป็นห่วง:29	test=1,train=56,val=2
ทุกคน	600	28	ทุกคน	ทุกคน:572 ทุก|คน:28	test=10,train=585,val=5
อีกแล้ว	212	28	อีกแล้ว	อีกแล้ว:184 อีก|แล้ว:28	test=2,train=210
ไม่ว่า	84	28	ไม่ว่า	ไม่ว่า:56 ไม่|ว่า:28	train=83,val=1
พวกนาย	83	28	พวกนาย	พวกนาย:55 พวก|นาย:28	train=83
ทำไง	76	27	ทำ|ไง	ทำ|ไง:49 ทำไง:27	test=2,train=74
แค่นี้	131	26	แค่นี้	แค่นี้:105 แค่|นี้:26	train=129,val=2
มีทาง	113	25	มี|ทาง	มี|ทาง:88 มีทาง:25	test=2,train=107,val=4
ดีมาก	216	24	ดี|มาก	ดี|มาก:192 ดีมาก:24	test=2,train=211,val=3
ดีขึ้น	82	24	ดี|ขึ้น	ดี|ขึ้น:58 ดีขึ้น:24	train=79,val=3
ยังคง	58	23	ยัง|คง	ยัง|คง:35 ยังคง:23	train=58
สิวะ	72	22	สิ|วะ	สิ|วะ:50 สิวะ:22	test=1,train=71
เอาน่า	74	21	เอา|น่า	เอา|น่า:53 เอาน่า:21	test=2,train=72
เดี๋ยวนะ	44	20	เดี๋ยว|นะ	เดี๋ยว|นะ:24 เดี๋ยวนะ:20	test=2,train=42
แค่นั้น	76	19	แค่นั้น	แค่นั้น:57 แค่|นั้น:19	train=74,val=2
ยอมแพ้	61	19	ยอม|แพ้	ยอม|แพ้:42 ยอมแพ้:19	test=1,train=58,val=2
วันนั้น	43	19	วันนั้น	วันนั้น:24 วัน|นั้น:19	test=1,train=42
ฟังดู	40	19	ฟัง|ดู	ฟัง|ดู:21 ฟังดู:19	test=1,train=39
เข้ามา	283	18	เข้า|มา	เข้า|มา:265 เข้ามา:18	test=1,train=278,val=4
สินะ	115	18	สิ|นะ	สิ|นะ:97 สินะ:18	test=1,train=114
ตามหา	105	17	ตามหา	ตามหา:88 ตาม|หา:17	test=1,train=103,val=1
พวกเธอ	91	17	พวกเธอ	พวกเธอ:74 พวก|เธอ:17	train=89,val=2
เหมือนกัน	270	16	เหมือนกัน	เหมือนกัน:254 เหมือน|กัน:16	test=5,train=261,val=4
ใช้ได้	66	16	ใช้|ได้	ใช้|ได้:50 ใช้ได้:16	train=66
รึไง	90	15	รึไง	รึไง:75 รึ|ไง:15	test=1,train=89
ไร้สาระ	60	15	ไร้|สาระ	ไร้|สาระ:45 ไร้สาระ:15	train=60
นั่นไง	59	15	นั่นไง	นั่นไง:44 นั่น|ไง:15	test=2,train=56,val=1
นั่นสิ	53	15	นั่น|สิ	นั่น|สิ:38 นั่นสิ:15	test=1,train=52
สีแดง	39	15	สีแดง	สีแดง:24 สี|แดง:15	train=38,val=1
อีกครั้ง	112	14	อีกครั้ง	อีกครั้ง:98 อีก|ครั้ง:14	test=2,train=110
คนตาย	36	14	คน|ตาย	คน|ตาย:22 คนตาย:14	train=35,val=1
ซะที	59	13	ซะที	ซะที:46 ซะ|ที:13	test=2,train=55,val=2
คนไหน	34	13	คน|ไหน	คน|ไหน:21 คนไหน:13	train=34
เด็กดี	33	13	เด็ก|ดี	เด็ก|ดี:20 เด็กดี:13	test=1,train=32
ตรงๆ	27	13	ตรง|ๆ	ตรง|ๆ:14 ตรงๆ:13	test=1,train=26
เห็นด้วย	68	12	เห็นด้วย	เห็นด้วย:56 เห็น|ด้วย:12	test=2,train=65,val=1
จริงด้วย	42	12	จริง|ด้วย	จริง|ด้วย:30 จริงด้วย:12	train=42
มองเห็น	27	12	มองเห็น	มองเห็น:15 มอง|เห็น:12	train=27
เหมือนกับ	56	11	เหมือน|กับ	เหมือน|กับ:45 เหมือนกับ:11	train=55,val=1
รอก่อน	40	11	รอ|ก่อน	รอ|ก่อน:29 รอก่อน:11	train=40
น่าสงสาร	34	11	น่าสงสาร	น่าสงสาร:23 น่า|สงสาร:11	train=34
สักครั้ง	30	11	สัก|ครั้ง	สัก|ครั้ง:19 สักครั้ง:11	train=29,val=1
จริงๆ	770	10	จริงๆ	จริงๆ:760 จริง|ๆ:10	test=9,train=754,val=7
ทางนี้	200	10	ทาง|นี้	ทาง|นี้:190 ทางนี้:10	test=2,train=194,val=4
คิดถึง	158	10	คิดถึง	คิดถึง:148 คิด|ถึง:10	test=1,train=153,val=4
ตอนนั้น	76	10	ตอนนั้น	ตอนนั้น:66 ตอน|นั้น:10	train=76
นี่แหละ	66	10	นี่แหละ	นี่แหละ:56 นี่|แหละ:10	test=3,train=61,val=2
หมอนั่น	32	10	หมอนั่น	หมอนั่น:22 หมอ|นั่น:10	train=31,val=1
ตอนไหน	27	10	ตอนไหน	ตอนไหน:17 ตอน|ไหน:10	test=1,train=25,val=1
ทั้งคืน	25	10	ทั้งคืน	ทั้งคืน:15 ทั้ง|คืน:10	train=25
ขณะที่	24	10	ขณะที่	ขณะที่:14 ขณะ|ที่:10	test=1,train=21,val=2
ย้อนกลับ	22	10	ย้อนกลับ	ย้อนกลับ:12 ย้อน|กลับ:10	test=1,train=21
พวกเรา	357	9	พวกเรา	พวกเรา:348 พวก|เรา:9	test=5,train=348,val=4
นะคะ	287	9	นะ|คะ	นะ|คะ:278 นะคะ:9	test=1,train=280,val=6
ที่รัก	185	9	ที่รัก	ที่รัก:176 ที่|รัก:9	test=3,train=178,val=4
คนอื่น	132	9	คน|อื่น	คน|อื่น:123 คนอื่น:9	test=1,train=128,val=3
ไม่เป็น	71	9	ไม่|เป็น	ไม่|เป็น:62 ไม่เป็น:9	train=70,val=1
นี่ไง	68	9	นี่|ไง	นี่|ไง:59 นี่ไง:9	test=1,train=66,val=1
คนดี	55	9	คน|ดี	คน|ดี:46 คนดี:9	train=53,val=2
เรื่องจริง	38	9	เรื่องจริง	เรื่องจริง:29 เรื่อง|จริง:9	train=37,val=1
เข้าใจผิด	28	9	เข้าใจผิด	เข้าใจผิด:19 เข้าใจ|ผิด:9	train=28
ตอนเช้า	27	9	ตอนเช้า	ตอนเช้า:18 ตอน|เช้า:9	train=26,val=1
สีฟ้า	24	9	สีฟ้า	สีฟ้า:15 สี|ฟ้า:9	train=24
เต็มไปหมด	23	9	เต็มไปหมด	เต็มไปหมด:14 เต็ม|ไป|หมด:9	train=23
ตัวดี	22	9	ตัว|ดี	ตัว|ดี:13 ตัวดี:9	train=21,val=1
ตัวเล็ก	22	9	ตัวเล็ก	ตัวเล็ก:13 ตัว|เล็ก:9	train=22
การแข่งขัน	21	9	การแข่งขัน	การแข่งขัน:12 การ|แข่งขัน:9	train=21
สีขาว	21	9	สี|ขาว	สี|ขาว:12 สีขาว:9	test=1,train=19,val=1
ปีนี้	19	9	ปี|นี้	ปี|นี้:10 ปีนี้:9	train=19
ไหนๆ	19	9	ไหนๆ	ไหนๆ:10 ไหน|ๆ:9	train=19
คนเดียว	212	8	คนเดียว	คนเดียว:204 คน|เดียว:8	test=1,train=211
เอาเลย	79	8	เอาเลย	เอาเลย:71 เอา|เลย:8	train=78,val=1
เป็นไร	43	8	เป็น|ไร	เป็น|ไร:35 เป็นไร:8	train=43
เท่าที่	26	8	เท่า|ที่	เท่า|ที่:18 เท่าที่:8	train=26
มีค่า	25	8	มี|ค่า	มี|ค่า:17 มีค่า:8	train=25
ถือว่า	24	8	ถือว่า	ถือว่า:16 ถือ|ว่า:8	train=23,val=1
หลงทาง	22	8	หลง|ทาง	หลง|ทาง:14 หลงทาง:8	train=22
เป็นจริง	22	8	เป็นจริง	เป็นจริง:14 เป็น|จริง:8	test=2,train=20
วันก่อน	18	8	วัน|ก่อน	วัน|ก่อน:10 วันก่อน:8	train=17,val=1
ไอ้ดำ	17	8	ไอ้ดำ	ไอ้ดำ:9 ไอ้|ดำ:8	train=17
ตามนั้น	16	8	ตามนั้น	ตามนั้น:8 ตาม|นั้น:8	test=1,train=15
เป็นไง	248	7	เป็นไง	เป็นไง:241 เป็น|ไง:7	test=2,train=243,val=3
อยู่แล้ว	159	7	อยู่|แล้ว	อยู่|แล้ว:152 อยู่แล้ว:7	test=2,train=154,val=3
พวกคุณ	111	7	พวกคุณ	พวกคุณ:104 พวก|คุณ:7	test=1,train=110
บางคน	70	7	บางคน	บางคน:63 บาง|คน:7	test=1,train=69
ครับผม	40	7	ครับผม	ครับผม:33 ครับ|ผม:7	test=1,train=38,val=1
