# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
のに	1261	625	の|に	の|に:636 のに:625	test=5,train=1254,val=2
ので	1234	534	の|で	の|で:700 ので:534	test=8,train=1217,val=9
なん	1663	308	な|ん	な|ん:1355 なん:308	test=16,train=1635,val=12
何か	1309	261	何|か	何|か:1048 何か:261	test=15,train=1282,val=12
自由の女神	502	229	自由の女神	自由の女神:273 自由|の|女神:229	train=502
万里の長城	507	222	万里の長城	万里の長城:285 万里|の|長城:222	train=507
私達	1043	187	私|達	私|達:856 私達:187	test=9,train=1029,val=5
だって	403	169	だ|って	だ|って:234 だって:169	test=2,train=401
とも	522	167	と|も	と|も:355 とも:167	train=515,val=7
誰か	582	150	誰|か	誰|か:432 誰か:150	test=1,train=574,val=7
本当に	832	139	本当|に	本当|に:693 本当に:139	test=3,train=827,val=2
かも	669	116	か|も	か|も:553 かも:116	test=7,train=657,val=5
でしょう	469	104	でしょう	でしょう:365 で|しょう:104	test=4,train=459,val=6
どうか	372	103	どう|か	どう|か:269 どうか:103	test=2,train=367,val=3
大きな	532	97	大きな	大きな:435 大き|な:97	test=2,train=527,val=3
しなければ	463	95	しなければ	しなければ:368 しなけれ|ば:95	test=8,train=450,val=5
何て	215	94	何|て	何|て:121 何て:94	test=3,train=210,val=2
だい	182	79	だい	だい:103 だ|い:79	test=1,train=181
なんだ	993	78	な|ん|だ	な|ん|だ:915 なん|だ:65 なんだ:13	test=11,train=974,val=8
かしら	330	78	かしら	かしら:252 か|しら:78	test=4,train=321,val=5
ところで	164	74	ところ|で	ところ|で:90 ところで:74	train=161,val=3
非常に	344	71	非常|に	非常|に:273 非常に:71	test=3,train=340,val=1
でも	2017	70	で|も	で|も:1947 でも:70	test=15,train=1994,val=8
であった	247	70	であった	であった:177 で|あった:70	test=1,train=245,val=1
なんと	147	69	なんと	なんと:78 なん|と:69	test=1,train=146
すれば	383	64	すれば	すれば:319 すれ|ば:64	test=5,train=375,val=3
どうやって	356	64	どう|やって	どう|やって:292 どうやって:64	test=5,train=348,val=3
違いない	153	60	違いない	違いない:93 違い|ない:60	test=1,train=149,val=3
どこか	194	59	どこ|か	どこ|か:135 どこか:59	test=1,train=191,val=2
今まで	170	59	今まで	今まで:111 今|まで:59	test=2,train=167,val=1
お願いします	207	58	お願い|します	お願い|します:149 お願いします:58	test=2,train=205
そんなに	309	57	そんな|に	そんな|に:252 そんなに:57	test=4,train=302,val=3
もの	2426	55	もの	もの:2371 も|の:55	test=24,train=2380,val=22
なんで	507	55	なんで	なんで:452 なん|で:55	test=1,train=502,val=4
それで	361	52	それ|で	それ|で:309 それで:52	test=1,train=355,val=5
はなかった	246	52	は|なかった	は|なかった:194 はなかった:52	test=2,train=243,val=1
どのくらい	234	45	どの|くらい	どの|くらい:189 どのくらい:45	test=2,train=230,val=2
高橋教授	173	44	高橋|教授	高橋|教授:129 高橋教授:44	train=173
いつでも	136	43	いつ|で|も	いつ|で|も:93 いつでも:41 いつ|でも:2	test=1,train=135
そういう	117	43	そう|いう	そう|いう:74 そういう:43	test=2,train=110,val=5
どれくらい	223	42	どれ|くらい	どれ|くらい:181 どれくらい:42	train=221,val=2
だけど	206	42	だ|けど	だ|けど:164 だけど:42	train=205,val=1
とか	134	42	と|か	と|か:92 とか:42	train=132,val=2
どうして	772	41	どうして	どうして:731 どう|して:41	test=9,train=757,val=6
それとも	181	39	それ|と|も	それ|と|も:142 それとも:31 それ|とも:8	train=178,val=3
そのような	96	39	そのような	そのような:57 その|よう|な:39	train=94,val=2
なんです	341	38	な|ん|です	な|ん|です:303 なん|です:29 なんです:9	test=2,train=335,val=4
小さな	258	37	小さな	小さな:221 小さ|な:37	test=2,train=252,val=4
でなく	143	37	でなく	でなく:106 で|なく:37	test=2,train=140,val=1
どうしても	81	34	どうしても	どうしても:47 どう|して|も:25 どうして|も:9	train=80,val=1
そこで	193	33	そこ|で	そこ|で:160 そこで:33	test=2,train=191
対する	131	32	対する	対する:99 対|する:32	train=131
だから	343	31	だ|から	だ|から:312 だから:31	test=5,train=338
それに	232	31	それ|に	それ|に:201 それに:31	test=1,train=228,val=3
対して	186	31	対して	対して:155 対|して:31	test=4,train=182
あれば	169	31	あれば	あれば:138 あれ|ば:31	test=1,train=167,val=1
してた	220	30	してた	してた:190 して|た:30	test=2,train=217,val=1
いくつか	170	30	いくつ|か	いくつ|か:140 いくつか:30	test=2,train=166,val=2
本当の	240	29	本当|の	本当|の:211 本当の:29	test=3,train=235,val=2
どういう	193	29	どういう	どういう:164 どう|いう:29	train=191,val=2
いかがです	143	28	いかがです	いかがです:115 いかが|です:28	train=143
にちがいない	55	28	に|ちがいない	に|ちがいない:27 にちがいない:15 に|ちがい|ない:8 にち|が|いない:5	train=54,val=1
おいて	225	27	おいて	おいて:198 おい|て:27	test=5,train=218,val=2
一日中	153	27	一日|中	一日|中:126 一日中:27	test=1,train=152
確かに	164	26	確か|に	確か|に:138 確かに:26	test=1,train=163
愛して	161	26	愛して	愛して:135 愛|して:26	test=2,train=158,val=1
くれて	143	26	くれて	くれて:117 くれ|て:26	test=3,train=138,val=2
こんなに	140	26	こんな|に	こんな|に:114 こんなに:26	train=139,val=1
なければ	103	26	なければ	なければ:77 なけれ|ば:26	train=102,val=1
言えば	131	25	言えば	言えば:106 言え|ば:25	test=1,train=129,val=1
でない	64	25	でない	でない:39 で|ない:25	train=63,val=1
その後	57	25	その後	その後:32 その|後:25	train=57
したら	302	24	したら	したら:278 した|ら:14 し|たら:10	test=1,train=300,val=1
はならない	199	24	は|ならない	は|ならない:175 はならない:24	test=2,train=196,val=1
めったに	109	23	めった|に	めった|に:86 めったに:23	test=2,train=107
世界中	69	23	世界|中	世界|中:46 世界中:23	train=69
この前	69	22	この|前	この|前:47 この前:22	train=68,val=1
自分自身	55	22	自分|自身	自分|自身:33 自分自身:22	test=1,train=52,val=2
別の	228	21	別|の	別|の:207 別の:21	test=1,train=226,val=1
二度と	148	21	二度|と	二度|と:127 二度と:21	test=1,train=145,val=2
そうだ	146	21	そう|だ	そう|だ:125 そうだ:21	test=3,train=142,val=1
僕ら	145	21	僕ら	僕ら:124 僕|ら:21	train=144,val=1
いいね	90	21	いい|ね	いい|ね:69 いいね:21	train=90
本当だ	83	21	本当|だ	本当|だ:62 本当だ:21	train=81,val=2
してます	66	20	してます	してます:46 して|ます:20	train=65,val=1
きちんと	48	20	きちんと	きちんと:28 きちん|と:20	test=1,train=47
とたんに	34	20	と|たんに	と|たんに:14 とたんに:10 とたん|に:6 と|たん|に:4	train=33,val=1
きて	415	19	きて	きて:396 き|て:19	test=4,train=408,val=3
はいけない	217	19	は|いけない	は|いけない:198 はいけない:19	train=215,val=2
ちゃんと	121	19	ちゃんと	ちゃんと:102 ちゃん|と:19	test=1,train=119,val=1
これから	78	19	これ|から	これ|から:59 これから:19	train=77,val=1
今や	40	19	今|や	今|や:21 今や:19	test=2,train=38
いっぱいだ	39	19	いっぱい|だ	いっぱい|だ:20 いっぱいだ:19	train=39
できるだけ	131	18	できる|だけ	できる|だけ:113 できるだけ:18	train=127,val=4
言ってた	103	18	言ってた	言ってた:85 言って|た:18	train=102,val=1
はいかがです	94	18	は|いかがです	は|いかがです:76 は|いかが|です:13 はいかがです:5	train=94
思ってた	94	18	思ってた	思ってた:76 思って|た:18	test=1,train=92,val=1
実に	71	18	実に	実に:53 実|に:18	test=1,train=70
