# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
내가	1808	654	내가	내가:1154 내|가:654	test=19,train=1772,val=17
뭐가	415	126	뭐|가	뭐|가:289 뭐가:126	test=8,train=402,val=5
누가	813	81	누가	누가:732 누|가:81	test=7,train=801,val=5
	131	75		:56 |:35 ||:20 |||:11 ||||:6 |||||:3	train=130,val=1
은요	225	68	은요	은요:157 은|요:68	test=1,train=222,val=2
밖에	154	54	밖에	밖에:100 밖|에:54	train=153,val=1
자유의	364	52	자유의	자유의:312 자유|의:52	test=3,train=358,val=3
세상에	100	48	세상에	세상에:52 세상|에:48	test=1,train=97,val=2
는요	174	47	는요	는요:127 는|요:47	train=173,val=1
나와	120	41	나와	나와:79 나|와:41	test=1,train=118,val=1
나중에	88	39	나중에	나중에:49 나중|에:39	test=1,train=85,val=2
내게	88	39	내게	내게:49 내|게:39	train=86,val=2
수도	132	36	수|도	수|도:96 수도:36	test=2,train=128,val=2
네가	661	34	네|가	네|가:627 네가:34	test=11,train=645,val=5
거니	111	34	거|니	거|니:77 거니:34	test=1,train=110
아무것도	117	32	아무것도	아무것도:85 아무것|도:32	test=1,train=116
앞으로	76	32	앞으로	앞으로:44 앞|으로:32	train=76
아무도	181	31	아무|도	아무|도:150 아무도:31	test=1,train=176,val=4
건가요	201	29	건가요	건가요:172 건|가요:29	test=3,train=196,val=2
거지	511	21	거|지	거|지:490 거지:21	test=5,train=500,val=6
여기에	93	21	여기|에	여기|에:72 여기에:21	test=1,train=91,val=1
니가	52	19	니가	니가:33 니|가:19	train=52
자는	39	19	자는	자는:20 자|는:19	train=38,val=1
어떡해	56	17	어떡해	어떡해:39 어떡|해:17	test=2,train=54
도요	38	17	도요	도요:21 도|요:17	train=35,val=3
말이오	38	17	말|이오	말|이오:21 말이오:17	test=1,train=37
나는	694	16	나|는	나|는:678 나는:16	test=4,train=685,val=5
거요	223	15	거|요	거|요:208 거요:15	test=2,train=217,val=4
