# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
뭐가	500	176	뭐|가	뭐|가:324 뭐가:176	test=9,train=487,val=4
	143	81		:62 |:39 ||:22 |||:11 ||||:6 |||||:3	train=143
밖에	186	60	밖에	밖에:126 밖|에:60	test=2,train=181,val=3
세상에	129	59	세상|에	세상|에:70 세상에:59	test=3,train=126
나와	154	58	나와	나와:96 나|와:58	test=3,train=150,val=1
나중에	102	47	나중에	나중에:55 나중|에:47	test=3,train=97,val=2
내게	98	45	내게	내게:53 내|게:45	train=96,val=2
건가	344	42	건가	건가:302 건|가:42	test=4,train=335,val=5
수도	159	41	수|도	수|도:118 수도:41	test=1,train=155,val=3
거니	141	39	거|니	거|니:102 거니:39	test=2,train=137,val=2
앞으로	89	32	앞으로	앞으로:57 앞|으로:32	test=1,train=87,val=1
거지	592	28	거|지	거|지:564 거지:28	test=4,train=582,val=6
걸까	78	25	걸까	걸까:53 걸|까:25	test=1,train=76,val=1
나는	757	22	나|는	나|는:735 나는:22	test=9,train=740,val=8
말이야	276	22	말|이야	말|이야:254 말이야:22	test=2,train=269,val=5
위로	55	21	위로	위로:34 위|로:21	train=53,val=2
자는	45	21	자는	자는:24 자|는:21	test=2,train=42,val=1
말이오	44	19	말|이오	말|이오:25 말이오:19	train=44
V-	52	18	V|-	V|-:34 V-:18	train=52
에서도	39	18	에서|도	에서|도:21 에서도:17 에|서|도:1	train=39
왜요	68	17	왜요	왜요:51 왜|요:17	train=66,val=2
걸까요	57	17	걸까요	걸까요:40 걸|까요:17	test=1,train=56
거요	264	15	거|요	거|요:249 거요:15	test=2,train=260,val=2
어디서	379	14	어디|서	어디|서:365 어디서:14	test=5,train=369,val=5
것처럼	44	14	것|처럼	것|처럼:30 것처럼:14	test=1,train=43
전에	237	13	전|에	전|에:224 전에:13	test=3,train=233,val=1
에도	108	13	에|도	에|도:95 에도:13	test=1,train=106,val=1
뭐냐	66	13	뭐|냐	뭐|냐:53 뭐냐:13	test=2,train=64
뭐로	29	13	뭐|로	뭐|로:16 뭐로:13	train=29
자식아	44	12	자식아	자식아:32 자식|아:12	test=1,train=43
프로도	28	12	프로|도	프로|도:16 프로도:12	train=27,val=1
더는	27	12	더|는	더|는:15 더는:12	train=27
뭐요	54	11	뭐|요	뭐|요:43 뭐요:11	test=3,train=51
.	26094	10	.	.:26084 .|:3 .||:3 .|||:3 .||||:1	test=238,train=25608,val=248
대가	37	10	대가	대가:27 대|가:10	train=37
말이죠	37	10	말|이죠	말|이죠:27 말이죠:10	test=1,train=34,val=2
얘가	28	10	얘가	얘가:18 얘|가:10	test=1,train=27
누구요	25	10	누구요	누구요:15 누구|요:10	train=25
지금까지	25	10	지금|까지	지금|까지:15 지금까지:10	train=24,val=1
할거야	18	10	할|거|야	할|거|야:8 할거|야:6 할거야:4	train=18
에는	2099	9	에|는	에|는:2090 에는:9	test=25,train=2055,val=19
이에요	714	9	이에요	이에요:705 이|에요:9	test=7,train=701,val=6
말이다	43	9	말|이다	말|이다:34 말이다:9	test=1,train=42
뭐니	32	9	뭐|니	뭐|니:23 뭐니:9	train=32
거라	25	9	거라	거라:16 거|라:9	train=25
에서요	25	9	에서요	에서요:16 에서|요:9	train=25
와도	23	9	와도	와도:14 와|도:9	train=23
으로는	109	8	으로|는	으로|는:101 으로는:8	test=3,train=103,val=3
처음부터	30	8	처음|부터	처음|부터:22 처음부터:8	test=1,train=29
로는	23	8	로|는	로|는:15 로는:8	test=1,train=22
건요	20	8	건요	건요:12 건|요:8	train=20
걸요	18	8	걸|요	걸|요:10 걸요:8	train=18
시야	17	8	시야	시야:9 시|야:8	train=17
어디든	17	8	어디든	어디든:9 어디|든:8	train=16,val=1
지는	17	8	지|는	지|는:9 지는:8	test=1,train=15,val=1
-지	16	8	-지	-지:8 -|지:8	train=16
말로	16	8	말|로	말|로:8 말로:8	train=16
!	26572	7	!	!:26565 !|:3 !||:1 !|||:1 !||||:1 !|||||:1	test=255,train=26063,val=254
잠깐만	116	7	잠깐만	잠깐만:109 잠깐|만:7	test=1,train=114,val=1
저는	105	7	저|는	저|는:98 저는:7	test=1,train=103,val=1
개자식아	25	7	개자식아	개자식아:18 개자식|아:7	test=1,train=24
제게	21	7	제|게	제|게:14 제게:7	train=20,val=1
수로	19	7	수|로	수|로:12 수로:7	train=19
알기나	19	7	알기나	알기나:12 알기|나:7	train=19
으로요	17	7	으로요	으로요:10 으로|요:7	test=1,train=16
거면	16	7	거|면	거|면:9 거면:7	train=16
아들아	16	7	아들|아	아들|아:9 아들아:7	train=15,val=1
아가야	14	7	아가야	아가야:7 아가|야:7	train=14
뭐라고	357	6	뭐라고	뭐라고:351 뭐|라고:6	test=5,train=349,val=3
인가요?	338	6	인가요|?	인가요|?:332 인가요?:1 인가요?|:1 인가요?||:1 인가요?|||:1 인가요?||||:1 인가요?|||||:1	test=9,train=326,val=3
에요	163	6	에요	에요:157 에|요:6	test=2,train=158,val=3
거라도	32	6	거|라도	거|라도:26 거라도:6	train=30,val=2
부를	24	6	부를	부를:18 부|를:6	train=24
이리로	24	6	이리로	이리로:18 이리|로:6	test=1,train=23
처럼요	18	6	처럼요	처럼요:12 처럼|요:6	train=18
여기요	17	6	여기요	여기요:11 여기|요:6	train=17
할거	16	6	할|거	할|거:10 할거:6	train=16
둘이서	15	6	둘|이서	둘|이서:9 둘이서:6	train=15
로만	15	6	로만	로만:9 로|만:6	train=15
보다는	15	6	보다|는	보다|는:9 보다는:6	train=15
자도	13	6	자도	자도:7 자|도:6	train=13
지가	13	6	지|가	지|가:7 지가:6	train=13
?	61275	5	?	?:61270 ?|:4 ?||:1	test=630,train=60034,val=611
말야	74	5	말야	말야:69 말|야:5	test=1,train=73
마지막으로	55	5	마지막으로	마지막으로:50 마지막|으로:5	test=1,train=53,val=1
화가	50	5	화|가	화|가:45 화가:5	train=49,val=1
다시는	40	5	다시|는	다시|는:35 다시는:5	test=3,train=37
