# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
ว่าไง	283	111	ว่า|ไง	ว่า|ไง:172 ว่าไง:111	test=1,train=280,val=2
หมายถึง	129	52	หมายถึง	หมายถึง:77 หมาย|ถึง:52	test=2,train=126,val=1
หรือไง	127	42	หรือไง	หรือไง:85 หรือ|ไง:42	train=125,val=2
แค่ไหน	109	40	แค่ไหน	แค่ไหน:69 แค่|ไหน:40	test=5,train=104
ดูเหมือน	102	38	ดูเหมือน	ดูเหมือน:64 ดู|เหมือน:38	train=102
มาก่อน	96	36	มา|ก่อน	มา|ก่อน:60 มาก่อน:36	test=3,train=92,val=1
ที่อยู่	75	36	ที่|อยู่	ที่|อยู่:39 ที่อยู่:36	train=74,val=1
ดีกว่า	290	31	ดีกว่า	ดีกว่า:259 ดี|กว่า:31	test=6,train=279,val=5
เอาไว้	128	30	เอาไว้	เอาไว้:98 เอา|ไว้:30	test=4,train=122,val=2
ดีแล้ว	87	29	ดี|แล้ว	ดี|แล้ว:58 ดีแล้ว:29	test=1,train=84,val=2
ไม่ว่า	84	29	ไม่ว่า	ไม่ว่า:55 ไม่|ว่า:29	train=82,val=2
เป็นห่วง	59	29	เป็นห่วง	เป็นห่วง:30 เป็น|ห่วง:29	test=1,train=58
พวกนาย	83	28	พวกนาย	พวกนาย:55 พวก|นาย:28	test=2,train=81
ยังคง	59	28	ยัง|คง	ยัง|คง:31 ยังคง:28	test=1,train=58
แค่นี้	131	27	แค่นี้	แค่นี้:104 แค่|นี้:27	test=1,train=128,val=2
ทำไง	76	27	ทำ|ไง	ทำ|ไง:49 ทำไง:27	test=2,train=73,val=1
ดีมาก	216	25	ดี|มาก	ดี|มาก:191 ดีมาก:25	test=2,train=212,val=2
ดีขึ้น	82	24	ดี|ขึ้น	ดี|ขึ้น:58 ดีขึ้น:24	test=1,train=81
มีทาง	113	23	มี|ทาง	มี|ทาง:90 มีทาง:23	train=113
สิวะ	72	22	สิ|วะ	สิ|วะ:50 สิวะ:22	train=72
เอาน่า	74	21	เอา|น่า	เอา|น่า:53 เอาน่า:21	test=1,train=73
ไร้สาระ	60	21	ไร้|สาระ	ไร้|สาระ:39 ไร้สาระ:21	test=1,train=57,val=2
เข้ามา	284	20	เข้า|มา	เข้า|มา:264 เข้ามา:20	test=2,train=279,val=3
ทางนี้	200	20	ทาง|นี้	ทาง|นี้:180 ทางนี้:20	test=3,train=196,val=1
แค่นั้น	75	20	แค่นั้น	แค่นั้น:55 แค่|นั้น:20	test=1,train=74
ยอมแพ้	61	19	ยอม|แพ้	ยอม|แพ้:42 ยอมแพ้:19	train=61
เดี๋ยวนะ	44	19	เดี๋ยว|นะ	เดี๋ยว|นะ:25 เดี๋ยวนะ:19	test=1,train=43
วันนั้น	43	19	วันนั้น	วันนั้น:24 วัน|นั้น:19	train=43
ฟังดู	40	19	ฟัง|ดู	ฟัง|ดู:21 ฟังดู:19	train=38,val=2
รึไง	90	18	รึไง	รึไง:72 รึ|ไง:18	train=89,val=1
สินะ	115	17	สิ|นะ	สิ|นะ:98 สินะ:17	test=1,train=113,val=1
ตามหา	105	17	ตามหา	ตามหา:88 ตาม|หา:17	test=1,train=102,val=2
ซะที	59	17	ซะที	ซะที:42 ซะ|ที:17	train=59
นั่นไง	59	17	นั่นไง	นั่นไง:42 นั่น|ไง:17	test=1,train=58
นะคะ	287	16	นะ|คะ	นะ|คะ:271 นะคะ:16	test=2,train=281,val=4
เหมือนกัน	270	16	เหมือนกัน	เหมือนกัน:254 เหมือน|กัน:16	test=1,train=262,val=7
พวกเธอ	91	16	พวกเธอ	พวกเธอ:75 พวก|เธอ:16	train=90,val=1
ใช้ได้	66	16	ใช้|ได้	ใช้|ได้:50 ใช้ได้:16	test=1,train=63,val=2
นั่นสิ	53	16	นั่น|สิ	นั่น|สิ:37 นั่นสิ:16	train=53
เด็กดี	33	16	เด็ก|ดี	เด็ก|ดี:17 เด็กดี:16	train=32,val=1
สีแดง	39	15	สีแดง	สีแดง:24 สี|แดง:15	train=39
อีกครั้ง	112	14	อีกครั้ง	อีกครั้ง:98 อีก|ครั้ง:14	test=3,train=106,val=3
คนตาย	36	13	คน|ตาย	คน|ตาย:23 คนตาย:13	train=36
คนไหน	34	13	คน|ไหน	คน|ไหน:21 คนไหน:13	train=34
ตรงๆ	27	13	ตรง|ๆ	ตรง|ๆ:14 ตรงๆ:13	train=27
เห็นด้วย	68	12	เห็นด้วย	เห็นด้วย:56 เห็น|ด้วย:12	test=1,train=67
เหมือนกับ	56	12	เหมือน|กับ	เหมือน|กับ:44 เหมือนกับ:12	train=56
จริงๆ	772	11	จริงๆ	จริงๆ:761 จริง|ๆ:11	test=5,train=760,val=7
เป็นไง	248	11	เป็นไง	เป็นไง:237 เป็น|ไง:11	test=6,train=242
อยู่แล้ว	159	11	อยู่|แล้ว	อยู่|แล้ว:148 อยู่แล้ว:11	test=3,train=155,val=1
จริงด้วย	42	11	จริง|ด้วย	จริง|ด้วย:31 จริงด้วย:11	train=38,val=4
น่าสงสาร	34	11	น่าสงสาร	น่าสงสาร:23 น่า|สงสาร:11	train=34
สักครั้ง	30	11	สัก|ครั้ง	สัก|ครั้ง:19 สักครั้ง:11	train=30
คิดถึง	158	10	คิดถึง	คิดถึง:148 คิด|ถึง:10	test=3,train=155
เอาเลย	79	10	เอาเลย	เอาเลย:69 เอา|เลย:10	test=1,train=76,val=2
ตอนนั้น	76	10	ตอนนั้น	ตอนนั้น:66 ตอน|นั้น:10	train=76
นี่แหละ	66	10	นี่แหละ	นี่แหละ:56 นี่|แหละ:10	test=1,train=64,val=1
รอก่อน	40	10	รอ|ก่อน	รอ|ก่อน:30 รอก่อน:10	train=39,val=1
หมอนั่น	32	10	หมอนั่น	หมอนั่น:22 หมอ|นั่น:10	train=32
ตอนเช้า	28	10	ตอนเช้า	ตอนเช้า:18 ตอน|เช้า:10	train=28
ตอนไหน	27	10	ตอนไหน	ตอนไหน:17 ตอน|ไหน:10	test=2,train=25
มองเห็น	27	10	มองเห็น	มองเห็น:17 มอง|เห็น:10	test=2,train=25
ทั้งคืน	25	10	ทั้งคืน	ทั้งคืน:15 ทั้ง|คืน:10	test=1,train=24
ขณะที่	24	10	ขณะที่	ขณะที่:14 ขณะ|ที่:10	train=24
ย้อนกลับ	22	10	ย้อนกลับ	ย้อนกลับ:12 ย้อน|กลับ:10	train=22
กลับมา	545	9	กลับ|มา	กลับ|มา:536 กลับมา:9	test=9,train=530,val=6
พวกเรา	357	9	พวกเรา	พวกเรา:348 พวก|เรา:9	test=2,train=352,val=3
ที่รัก	185	9	ที่รัก	ที่รัก:176 ที่|รัก:9	test=1,train=182,val=2
คนอื่น	132	9	คน|อื่น	คน|อื่น:123 คนอื่น:9	test=1,train=129,val=2
นี่ไง	68	9	นี่|ไง	นี่|ไง:59 นี่ไง:9	train=68
คนดี	55	9	คน|ดี	คน|ดี:46 คนดี:9	train=55
ครับผม	40	9	ครับผม	ครับผม:31 ครับ|ผม:9	test=1,train=39
เรื่องจริง	38	9	เรื่องจริง	เรื่องจริง:29 เรื่อง|จริง:9	train=38
เข้าใจผิด	28	9	เข้าใจผิด	เข้าใจผิด:19 เข้าใจ|ผิด:9	test=1,train=27
ตัวเล็ก	23	9	ตัวเล็ก	ตัวเล็ก:14 ตัว|เล็ก:9	train=23
ตัวดี	22	9	ตัว|ดี	ตัว|ดี:13 ตัวดี:9	train=22
การแข่งขัน	21	9	การแข่งขัน	การแข่งขัน:12 การ|แข่งขัน:9	test=1,train=20
สีขาว	21	9	สี|ขาว	สี|ขาว:12 สีขาว:9	train=21
ปีนี้	19	9	ปีนี้	ปีนี้:10 ปี|นี้:9	train=18,val=1
ไหนๆ	19	9	ไหนๆ	ไหนๆ:10 ไหน|ๆ:9	train=18,val=1
ได้ยิน	326	8	ได้ยิน	ได้ยิน:318 ได้|ยิน:8	test=1,train=322,val=3
คนเดียว	212	8	คนเดียว	คนเดียว:204 คน|เดียว:8	test=1,train=209,val=2
อาจจะ	206	8	อาจจะ	อาจจะ:198 อาจ|จะ:8	test=2,train=201,val=3
ไม่เป็น	71	8	ไม่|เป็น	ไม่|เป็น:63 ไม่เป็น:8	test=1,train=68,val=2
พวกแก	66	8	พวก|แก	พวก|แก:58 พวกแก:8	test=1,train=65
เป็นไร	43	8	เป็น|ไร	เป็น|ไร:35 เป็นไร:8	test=1,train=42
ตัวตาย	33	8	ตัวตาย	ตัวตาย:25 ตัว|ตาย:8	test=2,train=31
สีเขียว	28	8	สี|เขียว	สี|เขียว:20 สีเขียว:8	test=2,train=25,val=1
เท่าที่	26	8	เท่า|ที่	เท่า|ที่:18 เท่าที่:8	train=26
มีค่า	25	8	มี|ค่า	มี|ค่า:17 มีค่า:8	train=24,val=1
ถือว่า	24	8	ถือว่า	ถือว่า:16 ถือ|ว่า:8	train=24
สีฟ้า	24	8	สีฟ้า	สีฟ้า:16 สี|ฟ้า:8	train=24
เต็มไปหมด	23	8	เต็มไปหมด	เต็มไปหมด:15 เต็ม|ไป|หมด:8	train=23
ข้าวเย็น	22	8	ข้าวเย็น	ข้าวเย็น:14 ข้าว|เย็น:8	train=22
หลงทาง	22	8	หลง|ทาง	หลง|ทาง:14 หลงทาง:8	train=20,val=2
เป็นจริง	22	8	เป็นจริง	เป็นจริง:14 เป็น|จริง:8	train=22
วันก่อน	18	8	วัน|ก่อน	วัน|ก่อน:10 วันก่อน:8	train=18
ตามนั้น	16	8	ตาม|นั้น	ตาม|นั้น:8 ตามนั้น:8	train=16
พวกคุณ	111	7	พวกคุณ	พวกคุณ:104 พวก|คุณ:7	test=2,train=109
บางคน	70	7	บางคน	บางคน:63 บาง|คน:7	train=69,val=1
ช่วยด้วย	33	7	ช่วยด้วย	ช่วยด้วย:26 ช่วย|ด้วย:7	test=1,train=31,val=1
มากิน	31	7	มา|กิน	มา|กิน:24 มากิน:7	train=30,val=1
อย่างกับ	29	7	อย่างกับ	อย่างกับ:22 อย่าง|กับ:7	train=27,val=2
อีกหน่อย	28	7	อีกหน่อย	อีกหน่อย:21 อีก|หน่อย:7	train=28
แผนที่	22	7	แผนที่	แผนที่:15 แผน|ที่:7	train=21,val=1
ตั้งรับ	18	7	ตั้งรับ	ตั้งรับ:11 ตั้ง|รับ:7	train=18
ต่างๆ	17	7	ต่างๆ	ต่างๆ:10 ต่าง|ๆ:7	train=17
ไอ้ดำ	17	7	ไอ้ดำ	ไอ้ดำ:10 ไอ้|ดำ:7	train=17
ที่ผ่านมา	16	7	ที่|ผ่านมา	ที่|ผ่านมา:9 ที่ผ่านมา:7	train=16
ให้อภัย	16	7	ให้อภัย	ให้อภัย:9 ให้|อภัย:7	train=16
ไร้ประโยชน์	16	7	ไร้ประโยชน์	ไร้ประโยชน์:9 ไร้|ประโยชน์:7	train=16
ชื่อจริง	15	7	ชื่อจริง	ชื่อจริง:8 ชื่อ|จริง:7	test=1,train=14
อันไหน	15	7	อัน|ไหน	อัน|ไหน:8 อันไหน:7	train=15
น่าเชื่อ	14	7	น่าเชื่อ	น่าเชื่อ:7 น่า|เชื่อ:7	train=14
