# strings this corpus segments more than one way, worst first.
# minority = token instances that would change if the majority form were made canonical.
# forms lists every observed segmentation as form:count, majority first.
surface	total	minority	majority	forms	splits
就是	734	288	就|是	就|是:446 就是:288	test=7,train=718,val=9
还有	567	202	还有	还有:365 还|有:202	test=5,train=557,val=5
怎么办	312	152	怎么|办	怎么|办:160 怎么办:152	test=1,train=307,val=4
——	834	139	—|—	—|—:695 ——:139	test=1,train=826,val=7
有人	301	124	有人	有人:177 有|人:124	test=3,train=294,val=4
的话	188	94	的|话	的|话:94 的话:94	train=187,val=1
并不	227	90	并|不	并|不:137 并不:90	test=2,train=222,val=3
想要	350	85	想要	想要:265 想|要:85	test=5,train=340,val=5
不到	163	68	不|到	不|到:95 不到:68	test=1,train=160,val=2
件事	174	62	件|事	件|事:112 件事:62	test=2,train=168,val=4
不用	137	60	不用	不用:77 不|用:60	train=135,val=2
怎么回事	154	52	怎么回事	怎么回事:102 怎么|回事:52	train=154
还好	144	51	还|好	还|好:93 还好:51	test=2,train=139,val=3
是不是	465	49	是|不|是	是|不|是:416 是不是:49	test=6,train=458,val=1
你的	1420	48	你|的	你|的:1372 你的:48	test=16,train=1391,val=13
最好	106	47	最好	最好:59 最|好:47	test=2,train=102,val=2
正是	92	45	正是	正是:47 正|是:45	train=92
只是	404	42	只是	只是:362 只|是:42	test=3,train=398,val=3
没人	111	42	没人	没人:69 没|人:42	test=1,train=109,val=1
……	258	40	…|…	…|…:218 ……:40	test=1,train=254,val=3
哪个	109	40	哪个	哪个:69 哪|个:40	test=3,train=105,val=1
打电话	92	39	打|电话	打|电话:53 打电话:39	train=90,val=2
点了点头	60	38	点|了|点头	点|了|点头:22 点了点头:22 点|了|点|头:16	test=1,train=58,val=1
好不好	124	37	好不好	好不好:87 好|不|好:35 好|不好:2	test=2,train=121,val=1
不好	134	36	不|好	不|好:98 不好:36	test=1,train=133
而是	82	36	而是	而是:46 而|是:36	test=1,train=78,val=3
在一起	146	35	在|一起	在|一起:111 在一起:35	test=2,train=142,val=2
一次	230	33	一|次	一|次:197 一次:33	test=1,train=223,val=6
很快	100	33	很|快	很|快:67 很快:33	test=3,train=96,val=1
一眼	84	33	一眼	一眼:51 一|眼:33	test=2,train=82
要不	223	32	要|不	要|不:191 要不:32	test=2,train=219,val=2
